                     p.Moran_I   p.Moran_Z  p.Moran_P  p.Moran_Padj
RPL14             2.489599e-01   36.956072   0.000999      0.004052
HSPB1             2.489304e-01   37.244817   0.000999      0.004052
H1F0              2.484912e-01   38.654253   0.000999      0.004052
RPS21             2.471737e-01   38.198502   0.000999      0.004052
CRISP2            2.470559e-01   37.005502   0.000999      0.004052
TGM2              2.470204e-01   37.559866   0.000999      0.004052
WWP1              2.469990e-01   35.787718   0.000999      0.004052
GLO1              2.468051e-01   37.093607   0.000999      0.004052
PCED1B            2.467888e-01   38.485746   0.000999      0.004052
AMIGO2            2.467825e-01   36.807414   0.000999      0.004052
MT1E              2.466966e-01   37.186314   0.000999      0.004052
HLA-DQA1          2.464792e-01   37.089576   0.000999      0.004052
HIST1H2AC         2.450922e-01   36.962618   0.000999      0.004052
C2orf54           2.450144e-01   36.882422   0.000999      0.004052
POSTN             2.448366e-01   37.286745   0.000999      0.004052
HSPA9             2.447366e-01   35.786685   0.000999      0.004052
CREB3L4           2.438176e-01   37.935561   0.000999      0.004052
LRP1              2.436729e-01   39.172840   0.000999      0.004052
HLA-DQB1          2.431536e-01   37.315195   0.000999      0.004052
TUBA1B            2.424411e-01   35.983129   0.000999      0.004052
ENY2              2.415892e-01   35.739456   0.000999      0.004052
MIEN1             2.402952e-01   36.561907   0.000999      0.004052
PTGES3            2.398834e-01   36.398772   0.000999      0.004052
SLIRP             2.398035e-01   37.488273   0.000999      0.004052
SRP14             2.397278e-01   36.330737   0.000999      0.004052
ARF1              2.394968e-01   35.182084   0.000999      0.004052
SREBF1            2.393707e-01   36.783801   0.000999      0.004052
C8orf59           2.393701e-01   36.493010   0.000999      0.004052
MAL2              2.392858e-01   36.034509   0.000999      0.004052
S100A7            2.389430e-01   36.633677   0.000999      0.004052
RPS15A            2.389194e-01   36.592553   0.000999      0.004052
RPS19             2.387365e-01   35.528079   0.000999      0.004052
CYP4B1            2.382281e-01   36.047660   0.000999      0.004052
RHOB              2.382092e-01   36.192525   0.000999      0.004052
RPL22L1           2.380804e-01   34.456177   0.000999      0.004052
PLPP2             2.378349e-01   35.201149   0.000999      0.004052
C1S               2.378278e-01   35.783255   0.000999      0.004052
PDIA3             2.374591e-01   35.014630   0.000999      0.004052
CYB5R1            2.372590e-01   34.878849   0.000999      0.004052
TSTD1             2.372440e-01   35.691094   0.000999      0.004052
ATP6V1G1          2.367142e-01   35.522707   0.000999      0.004052
BTF3              2.365471e-01   37.264285   0.000999      0.004052
RHOH              2.364675e-01   35.455642   0.000999      0.004052
PGC               2.357137e-01   36.621708   0.000999      0.004052
SNRPD1            2.350691e-01   34.346256   0.000999      0.004052
GSTP1             2.349980e-01   35.756805   0.000999      0.004052
FARP1             2.346815e-01   36.499413   0.000999      0.004052
NDUFB1            2.346733e-01   35.128024   0.000999      0.004052
ERBB3             2.343439e-01   34.971893   0.000999      0.004052
